1994,SALA404440,SeAg_B4814,SEAG_RS22930,SeAg_B4814,1,2
1995,SALA402773,SeAg_B2988,SEAG_RS14380,SeAg_B2988,20,47
1996,SALA402475,SeAg_B2662,SEAG_RS12850,SeAg_B2662,11,2
1997,SALA400125,SeAg_B0135,SEAG_RS00920,SeAg_B0135,20,76
1998,SALA403401,SeAg_B3678,SEAG_RS17585,SeAg_B3678,13,4
1999,SALA403313,SeAg_B3576,SEAG_RS17110,SeAg_B3576,20,305
2000,SALA404226,SeAg_B4575,SEAG_RS21815,SeAg_B4575,20,152
2001,SALA402781,SeAg_B2997,SEAG_RS14425,SeAg_B2997,20,50
2002,SALA404239,SeAg_B4597,SEAG_RS21915,SeAg_B4597,13,1
2003,SALA402782,SeAg_B2998,SEAG_RS14430,SeAg_B2998,20,62
2004,SALA401392,SeAg_B1500,SEAG_RS07305,SeAg_B1500,2,5
2005,SALA400572,SeAg_B0619,SEAG_RS03160,SeAg_B0619,19,81
2006,SALA400772,SeAg_B0835,SEAG_RS04220,SeAg_B0835,18,3
2007,SALA401461,SeAg_B1572,SEAG_RS07655,SeAg_B1572,18,63
2008,SALA403889,SeAg_B4194,SEAG_RS20045,SeAg_B4194,20,14
2009,SALA402235,SeAg_B2406,SEAG_RS11605,SeAg_B2406,20,70
2010,SALA402480,SeAg_B2668,SEAG_RS12870,SeAg_B2668,1,1
2011,SALA404207,SeAg_B4554,SEAG_RS21700,SeAg_B4554,20,94
2012,SALA400089,SeAg_B0093,SEAG_RS00735,SeAg_B0093,19,4
2013,SALA402280,SeAg_B2451,SEAG_RS11830,SeAg_B2451,1,2
2014,SALA401823,SeAg_B1953,SEAG_RS09490,SeAg_B1953,20,180
2015,SALA400034,SeAg_B0037,SEAG_RS00475,SeAg_B0037,16,4
2016,SALA400975,SeAg_B1050,SEAG_RS05225,SeAg_B1050,18,2
2017,SALA400109,SeAg_B0115,SEAG_RS00845,SeAg_B0115,20,53
2018,SALA400437,SeAg_B0476,SEAG_RS02490,SeAg_B0476,16,2
2019,SALA403425,SeAg_B3703,SEAG_RS17705,SeAg_B3703,20,50
2020,SALA400037,SeAg_B0040,SEAG_RS00490,SeAg_B0040,17,7
2021,SALA400682,SeAg_B0740,SEAG_RS03740,SeAg_B0740,20,261
2022,SALA404205,SeAg_B4552,SEAG_RS21685,SeAg_B4552,19,20
2023,SALA404297,SeAg_B4661,SEAG_RS22240,SeAg_B4661,20,11
2024,SALA404467,SeAg_B4842,SEAG_RS23060,SeAg_B4842,20,38
2025,SALA400061,SeAg_B0064,SEAG_RS00600,SeAg_B0064,18,2
2026,SALA400373,SeAg_B0409,SEAG_RS02170,SeAg_B0409,1,1
2027,SALA401587,SeAg_B1703,SEAG_RS08270,SeAg_B1703,20,2
2028,SALA400551,SeAg_B0596,SEAG_RS03050,SeAg_B0596,18,33
2029,SALA404351,SeAg_B4716,SEAG_RS22490,SeAg_B4716,1,1
2030,SALA400062,SeAg_B0065,SEAG_RS00605,SeAg_B0065,18,2
2031,SALA404430,SeAg_B4803,SEAG_RS22895,SeAg_B4803,1,3
2032,SALA401662,SeAg_B1780,SEAG_RS08675,SeAg_B1780,19,83
2033,SALA401711,SeAg_B1834,SEAG_RS08930,SeAg_B1834,20,39
2034,SALA403887,SeAg_B4193,SEAG_RS20040,SeAg_B4193,20,46
2035,SALA400352,SeAg_B0388,SEAG_RS02070,SeAg_B0388,16,77
2036,SALA402675,SeAg_B2883,SEAG_RS13870,SeAg_B2883,2,1
2037,SALA400814,SeAg_B0879,SEAG_RS04420,SeAg_B0879,9,3
2038,SALA401952,SeAg_B2094,SEAG_RS10155,SeAg_B2094,5,2
2039,SALA400972,SeAg_B1047,SEAG_RS05205,SeAg_B1047,17,5
2040,SALA404494,SeAg_B4871,SEAG_RS23200,SeAg_B4871,20,15
2041,SALA404385,SeAg_B4751,SEAG_RS22655,SeAg_B4751,20,23
2042,SALA401450,SeAg_B1561,SEAG_RS07600,SeAg_B1561,19,6
2043,SALA400036,SeAg_B0039,SEAG_RS00485,SeAg_B0039,20,7
2044,SALA401947,SeAg_B2087,SEAG_RS10125,SeAg_B2087,4,3
2045,SALA403208,SeAg_B3464,SEAG_RS16560,SeAg_B3464,1,1
