Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA01895,OMA00103,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05341,OMA00206,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA00720,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA00760,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA01045,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA01089,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA02896,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02001,OMA03262,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA04100,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA04290,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA04402,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA04566,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA04924,Regulatory,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
